sentiment,article
2,"Exel Composites ' long-term growth prospects remain favourable , however ."
2,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas ."
1,"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services ."
1,The webcast may be followed online on the company website at www.ruukki.com/investors .
0,"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland ."
2,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
0,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .
1,"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland ."
2,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 ."
1,"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros ."
2,"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank ."
1,`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .
1,"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands ."
2,"Sales VAT inclusive expanded by 19 percent , to 351 million euros ."
1,M. and a Master of Business Administration MBA .
2,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 ."
2,"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said ."
1,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .
1,"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction ."
0,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .
2,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel ."
0,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily ."
1,Both companies ' existing investment plans will be coordinated .
1,"The total number of voting rights is 74,612,523 ."
1,"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn ."
1,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .
1,Rimi supermarket is the key customer in Magistral center .
1,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served ."
1,"Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers ."
1,Stora Enso will receive a 19.9 pct equity interest in the combined company .
1,The value of the total investment is about EUR 600mn .
2,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .
1,The solution will now be expanded to include all ground staff tasks .
1,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .
2,"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year ."
2,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .
1,"The company operates a U.S. division in Lisle , Ill. ."
1,"The remaining amount will be funded through debt , the Danish bank said ."
2,The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 .
2,Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+Ænsi-Kalkkuna to produce turkey meat .
1,The second-quarter net sales are expected to be on par with the first quarter of 2009 .
1,"Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads , bridges , airports and shops are being built ."
1,COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .
1,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .
0,"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges ."
2,Sales have risen in other export markets .
1,"Currently , the plant operates on full capacity ."
1,A paper mill in the central Maine town of Madison soon will have a new owner .
1,"says Brian Burton , Head of IT Security , Vodafone UK ."
2,Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .
1,"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes ."
1,"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting ."
0,Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .
1,"The Filter Tips cover the volume range from 0.1-1200 -ðl including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -ðl volume capacities ."
1,"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow ."
0,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .
1,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .
0,Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .
0,The first ship has been delayed and is estimated to be completed in spring 2010 .
1,1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .
1,"Financial , strategic and operational factors are considered ."
2,`` We were the lowest bidders and now the final approval is awaited . ''
1,"The share capital of Basware Corporation is 11,720,829 ."
